Totalpris,Adresse,Postnummer,Størrelse,URL
4834193,Ravnkollbakken 65,0971,102,https://www.finn.no/realestate/homes/ad.html?finnkode=389804647
4456540,Ammerudveien 69,0958,88,https://www.finn.no/realestate/homes/ad.html?finnkode=390153722
6036162,Bestumveien 2T,0281,84,https://www.finn.no/realestate/homes/ad.html?finnkode=388480266
5999562,Vetlandsveien 85A,0685,90,https://www.finn.no/realestate/homes/ad.html?finnkode=389257870
4458231,Nordåsveien 65,1251,103,https://www.finn.no/realestate/homes/ad.html?finnkode=389917403
4198700,Odvar Solbergs vei 40,0970,107,https://www.finn.no/realestate/homes/ad.html?finnkode=364233605
4178431,Ole Brumms vei 4,0979,97,https://www.finn.no/realestate/homes/ad.html?finnkode=352956724
4817830,Høgåsveien 68,1259,91,https://www.finn.no/realestate/homes/ad.html?finnkode=390437593
3740221,Ravnkollbakken 72,0971,102,https://www.finn.no/realestate/homes/ad.html?finnkode=371509368
4359811,Jordstjerneveien 52F,1283,86,https://www.finn.no/realestate/homes/ad.html?finnkode=390047983
6018727,Hovseterveien 102A,0768,82,https://www.finn.no/realestate/homes/ad.html?finnkode=381743946
4303705,Ulsholtveien 18,1053,253,https://www.finn.no/realestate/homes/ad.html?finnkode=382380639
3995090,Dr. Dedichens vei 126,0675,80,https://www.finn.no/realestate/homes/ad.html?finnkode=390462616
4134000,Ravnkollbakken 75,0971,100,https://www.finn.no/realestate/homes/ad.html?finnkode=373563073
4149973,Nebbejordet 35,1266,95,https://www.finn.no/realestate/homes/ad.html?finnkode=390046586
4473846,Skansen terrasse 24,1062,105,https://www.finn.no/realestate/homes/ad.html?finnkode=388777648
5673540,Oppsal terrasse 2,0686,81,https://www.finn.no/realestate/homes/ad.html?finnkode=390124699
6296235,Thereses gate 20 B,0168,80,https://www.finn.no/realestate/homes/ad.html?finnkode=389443355
5369212,Solbergliveien 117,0683,95,https://www.finn.no/realestate/homes/ad.html?finnkode=390307673
4710302,Ravnkroken 20F,1254,79,https://www.finn.no/realestate/homes/ad.html?finnkode=390467744
3827570,Nico Hambros vei 14,0969,84,https://www.finn.no/realestate/homes/ad.html?finnkode=390077724
4393000,Jordstjerneveien 29B,1283,86,https://www.finn.no/realestate/homes/ad.html?finnkode=368016917
5567054,Breigata 12,0187,86,https://www.finn.no/realestate/homes/ad.html?finnkode=367317040
6256462,Etterstadsletta 13B,0660,90,https://www.finn.no/realestate/homes/ad.html?finnkode=389891160
3637846,Maria Dehlis vei 45,1084,102,https://www.finn.no/realestate/homes/ad.html?finnkode=387295307
4239465,Elgtråkket 46B,1270,94,https://www.finn.no/realestate/homes/ad.html?finnkode=382817710
5759221,Norbygata 3,0187,80,https://www.finn.no/realestate/homes/ad.html?finnkode=368291480
5998495,Hovseterveien 64B,0768,83,https://www.finn.no/realestate/homes/ad.html?finnkode=390048317
5496174,Havreveien 28,0680,92,https://www.finn.no/realestate/homes/ad.html?finnkode=390730246
5109620,Maria Dehlis vei 53B,1084,99,https://www.finn.no/realestate/homes/ad.html?finnkode=390360835
4120118,Hallagerbakken 12A,1256,96,https://www.finn.no/realestate/homes/ad.html?finnkode=371025600
5402295,Lundåsveien 1 - 1 etg.,1089,86,https://www.finn.no/realestate/homes/ad.html?finnkode=371615282
3992452,Ravnkollbakken 57,0971,100,https://www.finn.no/realestate/homes/ad.html?finnkode=371400097
3415062,Vestlisvingen 80,0969,91,https://www.finn.no/realestate/homes/ad.html?finnkode=390301362
5196562,Høgåsveien 62,1259,102,https://www.finn.no/realestate/homes/ad.html?finnkode=390356293
3617809,Fossumberget 32,0983,86,https://www.finn.no/realestate/homes/ad.html?finnkode=390474643
5169355,Gamle Enebakkvei 97,1188,93,https://www.finn.no/realestate/homes/ad.html?finnkode=388962938
4127562,Odvar Solbergs vei 186,0973,103,https://www.finn.no/realestate/homes/ad.html?finnkode=390338046
3682589,Tante Ulrikkes vei 44A,0984,75,https://www.finn.no/realestate/homes/ad.html?finnkode=383862888
3957692,Dragonstien 97C,1062,74,https://www.finn.no/realestate/homes/ad.html?finnkode=390580479
