Index,Adresse,Postnummer,URL,Leiepris,Primærrom,Internt bruksareal (BRA-i),Bruksareal,Eksternt bruksareal (BRA-e),Balkong/Terrasse (TBA),#Bruttoareal
53,BAUNEVEIEN 63,1182,https://www.finn.no/realestate/lettings/ad.html?finnkode=74233168,13500,45,,,,,
54,Lille Borgen vei 8,0370,https://www.finn.no/realestate/lettings/ad.html?finnkode=342191073,16000,65,,,,,67
55,Holmenkollveien 44A,0773,https://www.finn.no/realestate/lettings/ad.html?finnkode=368253650,17000,,75,,,,
56,PROST HALLINGS VEI 13,0666,https://www.finn.no/realestate/lettings/ad.html?finnkode=95800790,16000,74,,,,,
57,Akersgata 73,0180,https://www.finn.no/realestate/lettings/ad.html?finnkode=346538071,16000,60,,,,,
58,Kjelsåsveien 188A,0884,https://www.finn.no/realestate/lettings/ad.html?finnkode=346232907,13500,,30,,,,
59,Etterstadsletta 4L,0660,https://www.finn.no/realestate/lettings/ad.html?finnkode=402223551,15500,40,,,,,
60,Maridalsveien 205,0469,https://www.finn.no/realestate/lettings/ad.html?finnkode=190694276,14900,38,,,,,42
61,Alnagata 11,0192,https://www.finn.no/realestate/lettings/ad.html?finnkode=403492425,15000,40,,,,,
62,Etterstadgata 11A,0658,https://www.finn.no/realestate/lettings/ad.html?finnkode=250235750,14000,30,,30,,,
63,C. A. Torstensens vei 52B,0379,https://www.finn.no/realestate/lettings/ad.html?finnkode=272307999,13900,33,,33,,,
64,Christian Kroghs Gate 30,0186,https://www.finn.no/realestate/lettings/ad.html?finnkode=399201340,18000,38,,,,,
65,THORVALD MEYERS GATE 78 C,0550,https://www.finn.no/realestate/lettings/ad.html?finnkode=73581307,14900,35,,35,,,
66,Vidars Gate 4,0452,https://www.finn.no/realestate/lettings/ad.html?finnkode=404169799,18000,33,,,,,
67,0271 Oslo,,https://www.finn.no/realestate/lettings/ad.html?finnkode=353473783,18000,60,,,,,
68,0680 Oslo,,https://www.finn.no/realestate/lettings/ad.html?finnkode=397890256,17000,75,,,,,
69,ARNLJOT GELLINES VEI 33,0657,https://www.finn.no/realestate/lettings/ad.html?finnkode=289792067,15500,33,,33,,,38
70,Kilenveien 22,1366,https://www.finn.no/realestate/lettings/ad.html?finnkode=113104027,17500,41,,,,,
71,Odins gate 6 A,0266,https://www.finn.no/realestate/lettings/ad.html?finnkode=404626521,16900,,32,32,,,
72,0659 Oslo,,https://www.finn.no/realestate/lettings/ad.html?finnkode=399589406,18000,47,,47,,,47
73,Røahagan 37A,,https://www.finn.no/realestate/lettings/ad.html?finnkode=50296946,13400,35,,,,,
74,Nordlysveien 9,0489,https://www.finn.no/realestate/lettings/ad.html?finnkode=308652750,18000,38,,,,,
75,Gjerdrums vei 12,0484,https://www.finn.no/realestate/lettings/ad.html?finnkode=398373924,13200,,,33,,,
76,Holmenkollveien 63 G,0784,https://www.finn.no/realestate/lettings/ad.html?finnkode=361976888,16000,37,,,,,
77,Johan evjes vei 16a,0667,https://www.finn.no/realestate/lettings/ad.html?finnkode=402554199,14500,35,,,,,
78,PARKVEIEN 64,0254,https://www.finn.no/realestate/lettings/ad.html?finnkode=402887510,16500,32,,,,,
79,Kirkeveien (Bygg E) 166,0450,https://www.finn.no/realestate/lettings/ad.html?finnkode=401768925,17400,,,30,,,
80,Nils Collett Vogts Vei 76,0766,https://www.finn.no/realestate/lettings/ad.html?finnkode=404620025,16000,,40,,,,
81,Maridalsveien 205,0469,https://www.finn.no/realestate/lettings/ad.html?finnkode=344297973,17800,,36,,,,
82,Haugerudhagan 82,0673,https://www.finn.no/realestate/lettings/ad.html?finnkode=400912750,16000,,35,35,,,
83,Pilestredet 100 A,0358,https://www.finn.no/realestate/lettings/ad.html?finnkode=404619358,14900,,32,32,,,
84,Nils Huus Gate 18,0482,https://www.finn.no/realestate/lettings/ad.html?finnkode=310426228,18000,33,,,,,
85,ENSJØVEIEN 4,0655,https://www.finn.no/realestate/lettings/ad.html?finnkode=403133469,15000,88,,,,,
86,RØA TERRASSE 28,0755,https://www.finn.no/realestate/lettings/ad.html?finnkode=232151797,16000,45,,,,,
87,RASCHS VEI 30 B,1178,https://www.finn.no/realestate/lettings/ad.html?finnkode=234204713,13000,31,,,,,
88,0484 Oslo,,https://www.finn.no/realestate/lettings/ad.html?finnkode=386041350,16000,,35,,,,
89,Grønnvoll Allen 42,0661,https://www.finn.no/realestate/lettings/ad.html?finnkode=156121762,14500,30,,36,,,
90,Holmengrenda 5,0771,https://www.finn.no/realestate/lettings/ad.html?finnkode=335686928,14000,,43,,,,
91,Holmboes gate 4,0357,https://www.finn.no/realestate/lettings/ad.html?finnkode=404326704,16500,31,,31,,,
