Index,Adresse,Postnummer,URL,Leiepris,Primærrom,Internt bruksareal (BRA-i),Bruksareal,Eksternt bruksareal (BRA-e),Balkong/Terrasse (TBA),#Bruttoareal,AREAL,PRIS KVM
46,Blåsbortveien 2A,873.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=101976853,15000,45.0,,,,,,45.0,333
47,Arnljot Gellines Vei 37B,657.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=405441504,17000,35.0,,,,,,35.0,485
48,Seterhøyveien 18E,1176.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=256895552,14400,43.0,,,,,,43.0,334
49,Peter Møllers Vei 41,585.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=406394829,18500,,42.0,42.0,,,,42.0,440
50,Skedsmogata 24A,655.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=404611822,16900,40.0,,,,,,40.0,422
51,Myrveien 2A,1358.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=188630930,15000,40.0,,,,,,40.0,375
52,Thorleif Haugs Vei 63,791.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=179527100,14000,48.0,,,,,,48.0,291
53,Bauneveien 63,1182.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=74233168,13500,45.0,,,,,,45.0,300
54,Lille Borgen Vei 8,370.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=342191073,16000,65.0,,,,,67.0,65.0,246
55,Holmenkollveien 44A,773.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=368253650,17000,,75.0,,,,,75.0,226
56,Prost Hallings Vei 13,666.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=95800790,16000,74.0,,,,,,74.0,216
57,Akersgata 73,180.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=346538071,16000,60.0,,,,,,60.0,266
58,Kjelsåsveien 188A,884.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=346232907,13500,,30.0,,,,,30.0,450
59,Etterstadsletta 4L,660.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=402223551,15500,40.0,,,,,,40.0,387
60,Maridalsveien 205,469.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=190694276,14900,38.0,,,,,42.0,38.0,392
61,Alnagata 11,192.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=403492425,15000,40.0,,,,,,40.0,375
62,Etterstadgata 11A,658.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=250235750,14000,30.0,,30.0,,,,30.0,466
63,C. A. Torstensens Vei 52B,379.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=272307999,13900,33.0,,33.0,,,,33.0,421
64,Christian Kroghs Gate 30,186.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=399201340,18000,38.0,,,,,,38.0,473
65,Thorvald Meyers Gate 78 C,550.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=73581307,14900,35.0,,35.0,,,,35.0,425
66,Vidars Gate 4,452.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=404169799,18000,33.0,,,,,,33.0,545
67,0271 Oslo,,https://www.finn.no/realestate/lettings/ad.html?finnkode=353473783,18000,60.0,,,,,,60.0,300
68,0680 Oslo,,https://www.finn.no/realestate/lettings/ad.html?finnkode=397890256,17000,75.0,,,,,,75.0,226
69,Arnljot Gellines Vei 33,657.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=289792067,15500,33.0,,33.0,,,38.0,33.0,469
70,Kilenveien 22,1366.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=113104027,17500,41.0,,,,,,41.0,426
71,Odins Gate 6 A,266.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=404626521,16900,,32.0,32.0,,,,32.0,528
72,0659 Oslo,,https://www.finn.no/realestate/lettings/ad.html?finnkode=399589406,18000,47.0,,47.0,,,47.0,47.0,382
73,Røahagan 37A,,https://www.finn.no/realestate/lettings/ad.html?finnkode=50296946,13400,35.0,,,,,,35.0,382
74,Nordlysveien 9,489.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=308652750,18000,38.0,,,,,,38.0,473
75,Gjerdrums Vei 12,484.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=398373924,13200,,,33.0,,,,33.0,400
76,Holmenkollveien 63 G,784.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=361976888,16000,37.0,,,,,,37.0,432
77,Johan Evjes Vei 16A,667.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=402554199,14500,35.0,,,,,,35.0,414
78,Parkveien 64,254.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=402887510,16500,32.0,,,,,,32.0,515
79,Kirkeveien (Bygg E) 166,450.0,https://www.finn.no/realestate/lettings/ad.html?finnkode=401768925,17400,,,30.0,,,,30.0,580
